Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,NIL,BEL,50.4372,5.9714
Sweden,Mario  Andretti ,Lotus Ford,1:27.607,AND,SWE,59.4088,17.7569
France,Mario  Andretti ,Lotus Ford,1:13.750,AND,FRA,43.2509,5.7901
Great Britain,James  Hunt ,McLaren Ford,1:19.600,HUN,GBR,52.0786,-1.0169
Germany,Niki  Lauda ,Ferrari,1:55.990,LAU,DEU,49.3276,8.5625
Austria,John  Watson ,Brabham Alfa Romeo,1:40.960,WAT,AUT,47.2197,14.7646
Netherlands,Niki  Lauda ,Ferrari,1:19.990,LAU,NED,52.3888,4.5409
Italy,Mario  Andretti ,Lotus Ford,1:39.100,AND,ITA,44.3406,11.7161
USA East,Ronnie  Peterson ,Tyrrell Ford,1:51.854,PET,USA,40.713,-74.0072
Canada,Mario  Andretti ,Lotus Ford,1:13.299,AND,CAN,45.5049,-73.5262
Japan,Jody  Scheckter ,Wolf Ford,1:14.300,SCH,JPN,34.8431,136.5416
Argentina,Gilles  Villeneuve ,Ferrari,1:49.760,VIL,ARG,-34.6466,-58.3876
Brazil,Carlos  Reutemann ,Ferrari,1:43.070,REU,BRA,-23.7036,-46.6997
South Africa,Mario  Andretti ,Lotus Ford,1:17.090,AND,ZAF,-26.2474,27.8477
USA West,Alan Jones ,Williams Ford,1:22.215,JON,USA,36.1699,-115.1398
Monaco,Niki  Lauda ,Brabham Alfa Romeo,1:28.650,LAU,MON,43.7347,7.4206
Belgium,Ronnie  Peterson ,Lotus Ford,1:23.130,PET,BEL,50.4372,5.9714
Spain,Mario  Andretti ,Lotus Ford,1:20.060,AND,ESP,41.57,2.2615
Sweden,Niki  Lauda ,Brabham Alfa Romeo,1:24.836,LAU,SWE,59.4088,17.7569
France,Carlos  Reutemann ,Ferrari,1:48.560,REU,FRA,43.2509,5.7901
Great Britain,Niki  Lauda ,Brabham Alfa Romeo,1:18.600,LAU,GBR,52.0786,-1.0169
Germany,Ronnie  Peterson ,Lotus Ford,1:55.620,PET,DEU,49.3276,8.5625
Austria,Ronnie  Peterson ,Lotus Ford,1:43.120,PET,AUT,47.2197,14.7646
Netherlands,Niki  Lauda ,Brabham Alfa Romeo,1:19.570,LAU,NED,52.3888,4.5409
Italy,Mario  Andretti ,Lotus Ford,1:38.230,AND,ITA,44.3406,11.7161
USA East,Jean-Pierre  Jarier ,Lotus Ford,1:39.557,JAR,USA,40.713,-74.0072
Canada,Alan Jones ,Williams Ford,1:38.072,JON,CAN,45.5049,-73.5262
Argentina,Jacques  Laffite ,Ligier Ford,1:46.910,LAF,ARG,-34.6466,-58.3876
Brazil,Jacques  Laffite ,Ligier Ford,2:28.760,LAF,BRA,-23.7036,-46.6997
South Africa,Gilles  Villeneuve ,Ferrari,1:14.412,VIL,ZAF,-26.2474,27.8477
USA West,Gilles  Villeneuve ,Ferrari,1:21.200,VIL,USA,36.1699,-115.1398
Spain,Gilles  Villeneuve ,Ferrari,1:16.440,VIL,ESP,41.57,2.2615
Belgium,Gilles  Villeneuve ,Ferrari,1:23.090,VIL,BEL,50.4372,5.9714
Monaco,Patrick  Depailler ,Ligier Ford,1:28.820,DEP,MON,43.7347,7.4206
France,Rene  Arnoux ,Renault,1:09.160,ARN,FRA,43.2509,5.7901
Great Britain,Clay  Regazzoni ,Williams Ford,1:14.400,REG,GBR,52.0786,-1.0169
Germany,Gilles  Villeneuve ,Ferrari,1:51.890,VIL,DEU,49.3276,8.5625
Austria,Rene  Arnoux ,Renault,1:35.770,ARN,AUT,47.2197,14.7646
Netherlands,Gilles  Villeneuve ,Ferrari,1:19.438,VIL,NED,52.3888,4.5409
Italy,Clay  Regazzoni ,Williams Ford,1:35.600,REG,ITA,44.3406,11.7161
Canada,Alan Jones ,Williams Ford,1:31.272,JON,CAN,45.5049,-73.5262
USA East,Nelson  Piquet ,Brabham Ford,1:40.054,PIQ,USA,40.713,-74.0072
Argentina,Alan Jones ,Williams Ford,1:50.450,JON,ARG,-34.6466,-58.3876
Brazil,Rene  Arnoux ,Renault,2:27.310,ARN,BRA,-23.7036,-46.6997
South Africa,Rene  Arnoux ,Renault,1:13.150,ARN,ZAF,-26.2474,27.8477
USA West,Nelson  Piquet ,Brabham Ford,1:19.830,PIQ,USA,36.1699,-115.1398
Belgium,Jacques  Laffite ,Ligier Ford,1:20.880,LAF,BEL,50.4372,5.9714
Monaco,Carlos  Reutemann ,Williams Ford,1:27.418,REU,MON,43.7347,7.4206
France,Alan Jones ,Williams Ford,1:41.450,JON,FRA,43.2509,5.7901
Great Britain,Didier  Pironi ,Ligier Ford,1:12.368,PIR,GBR,52.0786,-1.0169
Germany,Alan Jones ,Williams Ford,1:48.490,JON,DEU,49.3276,8.5625
Austria,Rene  Arnoux ,Renault,1:32.530,ARN,AUT,47.2197,14.7646
Netherlands,Rene  Arnoux ,Renault,1:19.350,ARN,NED,52.3888,4.5409
Italy,Alan Jones ,Williams Ford,1:36.089,JON,ITA,44.3406,11.7161
Canada,Didier  Pironi ,Ligier Ford,1:28.769,PIR,CAN,45.5049,-73.5262
USA East,Alan Jones ,Williams Ford,1:34.068,JON,USA,40.713,-74.0072
USA West,Alan Jones ,Williams Ford,1:20.901,JON,USA,36.1699,-115.1398
Brazil,Marc  Surer ,Ensign Ford,1:54.302,SUR,BRA,-23.7036,-46.6997
Argentina,Nelson  Piquet ,Brabham Ford,1:45.287,PIQ,ARG,-34.6466,-58.3876
San Marino,Gilles  Villeneuve ,Ferrari,1:48.064,VIL,SMR,43.9685,12.4813
Belgium,Carlos  Reutemann ,Williams Ford,1:23.300,REU,BEL,50.4372,5.9714
Monaco,Alan Jones ,Williams Ford,1:27.470,JON,MON,43.7347,7.4206
Spain,Alan Jones ,Williams Ford,1:17.818,JON,ESP,41.57,2.2615
France,Alain  Prost ,Renault,1:09.140,PRO,FRA,43.2509,5.7901
Great Britain,Rene  Arnoux ,Renault,1:15.067,ARN,GBR,52.0786,-1.0169
Germany,Alan Jones ,Williams Ford,1:52.420,JON,DEU,49.3276,8.5625
Austria,Jacques  Laffite ,Ligier Matra,1:37.620,LAF,AUT,47.2197,14.7646
Netherlands,Alan Jones ,Williams Ford,1:21.830,JON,NED,52.3888,4.5409
Italy,Carlos  Reutemann ,Williams Ford,1:37.528,REU,ITA,44.3406,11.7161
Canada,John  Watson ,McLaren Ford,1:49.475,WAT,CAN,45.5049,-73.5262
Caesar's Palace,Didier  Pironi ,Ferrari,1:20.156,PIR,USA,36.1699,-115.1398
South Africa,Alain  Prost ,Renault,1:08.278,PRO,ZAF,-26.2474,27.8477
Brazil,Alain  Prost ,Renault,1:37.016,PRO,BRA,-23.7036,-46.6997
USA West,Niki  Lauda ,McLaren Ford,1:30.831,LAU,USA,36.1699,-115.1398
San Marino,Didier  Pironi ,Ferrari,1:35.036,PIR,SMR,43.9685,12.4813
Belgium,John  Watson ,McLaren Ford,1:20.214,WAT,BEL,50.4372,5.9714
Monaco,Riccardo  Patrese ,Brabham Ford,1:26.354,PAT,MON,43.7347,7.4206
Detroit,Alain  Prost ,Renault,1:50.438,PRO,USA,42.3407,-83.0458
Canada,Didier  Pironi ,Ferrari,1:28.323,PIR,CAN,45.5049,-73.5262
Netherlands,Derek  Warwick ,Toleman Hart,1:19.780,WAR,NED,52.3888,4.5409
Great Britain,Brian  Henton ,Tyrrell Ford,1:13.028,HEN,GBR,52.0786,-1.0169
France,Riccardo  Patrese ,Brabham Ford,1:40.075,PAT,FRA,43.2509,5.7901
Germany,Nelson  Piquet ,Brabham Ford,1:54.035,PIQ,DEU,49.3276,8.5625
Austria,Nelson  Piquet ,Brabham Ford,1:33.699,PIQ,AUT,47.2197,14.7646
Switzerland,Alain  Prost ,Renault,1:07.477,PRO,SUI,47.3769,8.5417
Italy,Rene  Arnoux ,Renault,1:33.619,ARN,ITA,44.3406,11.7161
Caesar's Palace,Michele  Alboreto ,Tyrrell Ford,1:19.639,ALB,USA,36.1699,-115.1398
Brazil,Nelson  Piquet ,Brabham BMW,1:39.829,PIQ,BRA,-23.7036,-46.6997
USA West,Niki  Lauda ,McLaren TAG,1:28.330,LAU,USA,36.1699,-115.1398
France,Alain  Prost ,Renault,1:42.695,PRO,FRA,43.2509,5.7901
San Marino,Riccardo  Patrese ,Brabham BMW,1:34.437,PAT,SMR,43.9685,12.4813
Monaco,Nelson  Piquet ,Brabham BMW,1:27.283,PIQ,MON,43.7347,7.4206
Belgium,Andrea  de Cesaris ,Alfa Romeo,2:07.493,DEC,BEL,50.4372,5.9714
Detroit,John  Watson ,McLaren TAG,1:47.668,WAT,USA,42.3407,-83.0458
Canada,Patrick  Tambay ,Ferrari,1:30.851,TAM,CAN,45.5049,-73.5262
Great Britain,Alain  Prost ,Renault,1:14.212,PRO,GBR,52.0786,-1.0169
Germany,Rene  Arnoux ,Ferrari,1:53.938,ARN,DEU,49.3276,8.5625
Austria,Alain  Prost ,Renault,1:33.961,PRO,AUT,47.2197,14.7646
Netherlands,Rene  Arnoux ,Ferrari,1:19.863,ARN,NED,52.3888,4.5409
Italy,Nelson  Piquet ,Brabham BMW,1:34.431,PIQ,ITA,44.3406,11.7161
Europe,Nigel  Mansell ,Lotus Ford,1:14.342,MAN,DEU,50.4336,6.9476
South Africa,Nelson  Piquet ,Brabham BMW,1:09.948,PIQ,ZAF,-26.2474,27.8477
Brazil,Alain  Prost ,McLaren TAG,1:36.499,PRO,BRA,-23.7036,-46.6997
South Africa,Patrick  Tambay ,Renault,1:08.877,TAM,ZAF,-26.2474,27.8477
Belgium,Rene  Arnoux ,Ferrari,1:19.294,ARN,BEL,50.4372,5.9714
San Marino,Nelson  Piquet ,Brabham BMW,1:33.275,PIQ,SMR,43.9685,12.4813
France,Alain  Prost ,McLaren TAG,1:05.257,PRO,FRA,43.2509,5.7901
Monaco,Ayrton  Senna ,Toleman Hart,1:54.334,SEN,MON,43.7347,7.4206
Canada,Nelson  Piquet ,Brabham BMW,1:28.763,PIQ,CAN,45.5049,-73.5262
Detroit,Derek  Warwick ,Renault,1:46.221,WAR,USA,42.3407,-83.0458
Dallas,Niki  Lauda ,McLaren TAG,1:45.353,LAU,USA,32.7749,-96.8089
Great Britain,Niki  Lauda ,McLaren TAG,1:13.191,LAU,GBR,52.0786,-1.0169
Germany,Alain  Prost ,McLaren TAG,1:53.538,PRO,DEU,49.3276,8.5625
Austria,Niki  Lauda ,McLaren TAG,1:32.882,LAU,AUT,47.2197,14.7646
Netherlands,Rene  Arnoux ,Ferrari,1:19.465,ARN,NED,52.3888,4.5409
Italy,Niki  Lauda ,McLaren TAG,1:31.912,LAU,ITA,44.3406,11.7161
Europe,Nelson  Piquet ,Brabham BMW,1:23.146,PIQ,DEU,50.4336,6.9476
Portugal,Niki  Lauda ,McLaren TAG,1:22.996,LAU,POR,37.227,-8.6281
Brazil,Alain  Prost ,McLaren TAG,1:36.702,PRO,BRA,-23.7036,-46.6997
Portugal,Ayrton  Senna ,Lotus Renault,1:44.121,SEN,POR,37.227,-8.6281
San Marino,Michele  Alboreto ,Ferrari,1:30.961,ALB,SMR,43.9685,12.4813
Monaco,Michele  Alboreto ,Ferrari,1:22.637,ALB,MON,43.7347,7.4206
Canada,Ayrton  Senna ,Lotus Renault,1:27.445,SEN,CAN,45.5049,-73.5262
Detroit,Ayrton  Senna ,Lotus Renault,1:45.612,SEN,USA,42.3407,-83.0458
France,Keke  Rosberg ,Williams Honda,1:39.914,ROS,FRA,43.2509,5.7901
Great Britain,Alain  Prost ,McLaren TAG,1:09.886,PRO,GBR,52.0786,-1.0169
Germany,Niki  Lauda ,McLaren TAG,1:22.806,LAU,DEU,49.3276,8.5625
Austria,Alain  Prost ,McLaren TAG,1:29.241,PRO,AUT,47.2197,14.7646
Netherlands,Alain  Prost ,McLaren TAG,1:16.538,PRO,NED,52.3888,4.5409
Italy,Nigel  Mansell ,Williams Honda,1:28.283,MAN,ITA,44.3406,11.7161
Belgium,Alain  Prost ,McLaren TAG,2:01.730,PRO,BEL,50.4372,5.9714
Europe,Jacques  Laffite ,Ligier Renault,1:11.526,LAF,DEU,50.4336,6.9476
South Africa,Keke  Rosberg ,Williams Honda,1:08.149,ROS,ZAF,-26.2474,27.8477
Australia,Keke  Rosberg ,Williams Honda,1:23.758,ROS,AUS,-37.8497,144.968
Brazil,Nelson  Piquet ,Williams Honda,1:33.546,PIQ,BRA,-23.7036,-46.6997
Spain,Nigel  Mansell ,Williams Honda,1:27.176,MAN,ESP,41.57,2.2615
San Marino,Nelson  Piquet ,Williams Honda,1:28.667,PIQ,SMR,43.9685,12.4813
Monaco,Alain  Prost ,McLaren TAG,1:26.607,PRO,MON,43.7347,7.4206
Belgium,Alain  Prost ,McLaren TAG,1:59.282,PRO,BEL,50.4372,5.9714
Canada,Nelson  Piquet ,Williams Honda,1:25.443,PIQ,CAN,45.5049,-73.5262
Detroit,Nelson  Piquet ,Williams Honda,1:41.233,PIQ,USA,42.3407,-83.0458
France,Nigel  Mansell ,Williams Honda,1:09.993,MAN,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Williams Honda,1:09.593,MAN,GBR,52.0786,-1.0169
Germany,Gerhard  Berger ,Benetton BMW,1:46.604,BER,DEU,49.3276,8.5625
Hungary,Nelson  Piquet ,Williams Honda,1:31.001,PIQ,HUN,47.5789,19.2486
Austria,Gerhard  Berger ,Benetton BMW,1:29.444,BER,AUT,47.2197,14.7646
Italy,Teo  Fabi ,Benetton BMW,1:28.099,FAB,ITA,44.3406,11.7161
Portugal,Nigel  Mansell ,Williams Honda,1:20.943,MAN,POR,37.227,-8.6281
Mexico,Nelson  Piquet ,Williams Honda,1:19.360,PIQ,MEX,19.4042,-99.0907
Australia,Nelson  Piquet ,Williams Honda,1:20.787,PIQ,AUS,-37.8497,144.968
Brazil,Nelson  Piquet ,Williams Honda,1:33.861,PIQ,BRA,-23.7036,-46.6997
San Marino,Teo  Fabi ,Benetton Ford,1:29.246,FAB,SMR,43.9685,12.4813
Belgium,Alain  Prost ,McLaren TAG,1:57.153,PRO,BEL,50.4372,5.9714
Monaco,Ayrton  Senna ,Lotus Honda,1:27.685,SEN,MON,43.7347,7.4206
Detroit,Ayrton  Senna ,Lotus Honda,1:40.464,SEN,USA,42.3407,-83.0458
France,Nelson  Piquet ,Williams Honda,1:09.548,PIQ,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Williams Honda,1:09.832,MAN,GBR,52.0786,-1.0169
Germany,Nigel  Mansell ,Williams Honda,1:45.716,MAN,DEU,49.3276,8.5625
Hungary,Nelson  Piquet ,Williams Honda,1:30.149,PIQ,HUN,47.5789,19.2486
Austria,Nigel  Mansell ,Williams Honda,1:28.318,MAN,AUT,47.2197,14.7646
Italy,Ayrton  Senna ,Lotus Honda,1:26.796,SEN,ITA,44.3406,11.7161
Portugal,Gerhard  Berger ,Ferrari,1:19.282,BER,POR,37.227,-8.6281
Spain,Gerhard  Berger ,Ferrari,1:26.986,BER,ESP,41.57,2.2615
Mexico,Nelson  Piquet ,Williams Honda,1:19.132,PIQ,MEX,19.4042,-99.0907
Japan,Alain  Prost ,McLaren TAG,1:43.844,PRO,JPN,34.8431,136.5416
Australia,Gerhard  Berger ,Ferrari,1:20.416,BER,AUS,-37.8497,144.968
Brazil,Gerhard  Berger ,Ferrari,1:32.943,BER,BRA,-23.7036,-46.6997
San Marino,Alain  Prost ,McLaren Honda,1:29.685,PRO,SMR,43.9685,12.4813
Monaco,Ayrton  Senna ,McLaren Honda,1:26.321,SEN,MON,43.7347,7.4206
Mexico,Alain  Prost ,McLaren Honda,1:18.608,PRO,MEX,19.4042,-99.0907
Canada,Ayrton  Senna ,McLaren Honda,1:24.973,SEN,CAN,45.5049,-73.5262
Detroit,Alain  Prost ,McLaren Honda,1:44.836,PRO,USA,42.3407,-83.0458
France,Alain  Prost ,McLaren Honda,1:11.737,PRO,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Williams Judd,1:23.308,MAN,GBR,52.0786,-1.0169
Germany,Alessandro  Nannini ,Benetton Ford,2:03.032,NAN,DEU,49.3276,8.5625
Hungary,Alain  Prost ,McLaren Honda,1:30.639,PRO,HUN,47.5789,19.2486
Belgium,Gerhard  Berger ,Ferrari,2:00.772,BER,BEL,50.4372,5.9714
Italy,Michele  Alboreto ,Ferrari,1:29.070,ALB,ITA,44.3406,11.7161
Portugal,Gerhard  Berger ,Ferrari,1:21.961,BER,POR,37.227,-8.6281
Spain,Alain  Prost ,McLaren Honda,1:27.845,PRO,ESP,41.57,2.2615
Japan,Ayrton  Senna ,McLaren Honda,1:46.326,SEN,JPN,34.8431,136.5416
Australia,Alain  Prost ,McLaren Honda,1:21.216,PRO,AUS,-37.8497,144.968
Brazil,Riccardo  Patrese ,Williams Renault,1:32.507,PAT,BRA,-23.7036,-46.6997
San Marino,Alain  Prost ,McLaren Honda,1:26.795,PRO,SMR,43.9685,12.4813
Monaco,Alain  Prost ,McLaren Honda,1:25.501,PRO,MON,43.7347,7.4206
Mexico,Nigel  Mansell ,Ferrari,1:20.420,MAN,MEX,19.4042,-99.0907
United States,Ayrton  Senna ,McLaren Honda,1:33.969,SEN,USA,30.1328,-97.6411
Canada,Jonathan Palmer ,Tyrrell Ford,1:31.925,PAL,CAN,45.5049,-73.5262
France,Mauricio  Gugelmin ,March Judd,1:12.090,GUG,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Ferrari,1:12.017,MAN,GBR,52.0786,-1.0169
Germany,Ayrton  Senna ,McLaren Honda,1:45.884,SEN,DEU,49.3276,8.5625
Hungary,Nigel  Mansell ,Ferrari,1:22.637,MAN,HUN,47.5789,19.2486
Belgium,Alain  Prost ,McLaren Honda,2:11.571,PRO,BEL,50.4372,5.9714
Italy,Alain  Prost ,McLaren Honda,1:28.107,PRO,ITA,44.3406,11.7161
Portugal,Gerhard  Berger ,Ferrari,1:18.986,BER,POR,37.227,-8.6281
Spain,Ayrton  Senna ,McLaren Honda,1:25.779,SEN,ESP,41.57,2.2615
Japan,Alain  Prost ,McLaren Honda,1:43.506,PRO,JPN,34.8431,136.5416
Australia,Satoru  Nakajima ,Lotus Judd,1:38.480,NAK,AUS,-37.8497,144.968
United States,Gerhard  Berger ,McLaren Honda,1:31.050,BER,USA,30.1328,-97.6411
Brazil,Gerhard  Berger ,McLaren Honda,1:19.899,BER,BRA,-23.7036,-46.6997
San Marino,Alessandro  Nannini ,Benetton Ford,1:27.156,NAN,SMR,43.9685,12.4813
Monaco,Ayrton  Senna ,McLaren Honda,1:24.468,SEN,MON,43.7347,7.4206
Canada,Gerhard  Berger ,McLaren Honda,1:22.077,BER,CAN,45.5049,-73.5262
Mexico,Alain  Prost ,Ferrari,1:17.958,PRO,MEX,19.4042,-99.0907
France,Nigel  Mansell ,Ferrari,1:08.012,MAN,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Ferrari,1:11.291,MAN,GBR,52.0786,-1.0169
Germany,Thierry  Boutsen ,Williams Renault,1:45.602,BOU,DEU,49.3276,8.5625
Hungary,Riccardo  Patrese ,Williams Renault,1:22.058,PAT,HUN,47.5789,19.2486
Belgium,Alain  Prost ,Ferrari,1:55.087,PRO,BEL,50.4372,5.9714
Italy,Ayrton  Senna ,McLaren Honda,1:26.254,SEN,ITA,44.3406,11.7161
Portugal,Riccardo  Patrese ,Williams Renault,1:18.306,PAT,POR,37.227,-8.6281
Spain,Riccardo  Patrese ,Williams Renault,1:24.513,PAT,ESP,41.57,2.2615
Japan,Riccardo  Patrese ,Williams Renault,1:44.233,PAT,JPN,34.8431,136.5416
Australia,Nigel  Mansell ,Ferrari,1:18.203,MAN,AUS,-37.8497,144.968
United States,Jean  Alesi ,Ferrari,1:26.758,ALE,USA,30.1328,-97.6411
Brazil,Nigel  Mansell ,Williams Renault,1:20.436,MAN,BRA,-23.7036,-46.6997
San Marino,Gerhard  Berger ,McLaren Honda,1:26.531,BER,SMR,43.9685,12.4813
Monaco,Alain  Prost ,Ferrari,1:24.368,PRO,MON,43.7347,7.4206
Canada,Nigel  Mansell ,Williams Renault,1:22.385,MAN,CAN,45.5049,-73.5262
Mexico,Nigel  Mansell ,Williams Renault,1:16.788,MAN,MEX,19.4042,-99.0907
France,Nigel  Mansell ,Williams Renault,1:19.168,MAN,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Williams Renault,1:26.379,MAN,GBR,52.0786,-1.0169
Germany,Riccardo  Patrese ,Williams Renault,1:43.569,PAT,DEU,49.3276,8.5625
Hungary,Bertrand  Gachot ,Jordan Ford,1:21.547,GAC,HUN,47.5789,19.2486
Belgium,Roberto  Moreno ,Benetton Ford,1:55.161,MOR,BEL,50.4372,5.9714
Italy,Ayrton  Senna ,McLaren Honda,1:26.061,SEN,ITA,44.3406,11.7161
Portugal,Nigel  Mansell ,Williams Renault,1:18.179,MAN,POR,37.227,-8.6281
Spain,Riccardo  Patrese ,Williams Renault,1:22.837,PAT,ESP,41.57,2.2615
Japan,Ayrton  Senna ,McLaren Honda,1:41.532,SEN,JPN,34.8431,136.5416
Australia,Gerhard  Berger ,McLaren Honda,1:41.141,BER,AUS,-37.8497,144.968
South Africa,Nigel  Mansell ,Williams Renault,1:17.578,MAN,ZAF,-26.2474,27.8477
Mexico,Gerhard  Berger ,McLaren Honda,1:17.711,BER,MEX,19.4042,-99.0907
Brazil,Riccardo  Patrese ,Williams Renault,1:19.490,PAT,BRA,-23.7036,-46.6997
Spain,Nigel  Mansell ,Williams Renault,1:42.503,MAN,ESP,41.57,2.2615
San Marino,Riccardo  Patrese ,Williams Renault,1:26.100,PAT,SMR,43.9685,12.4813
Monaco,Nigel  Mansell ,Williams Renault,1:21.598,MAN,MON,43.7347,7.4206
Canada,Gerhard  Berger ,McLaren Honda,1:22.325,BER,CAN,45.5049,-73.5262
France,Nigel  Mansell ,Williams Renault,1:17.070,MAN,FRA,43.2509,5.7901
Great Britain,Nigel  Mansell ,Williams Renault,1:22.539,MAN,GBR,52.0786,-1.0169
Germany,Riccardo  Patrese ,Williams Renault,1:41.591,PAT,DEU,49.3276,8.5625
Hungary,Nigel  Mansell ,Williams Renault,1:18.308,MAN,HUN,47.5789,19.2486
Belgium,Michael  Schumacher ,Benetton Ford,1:53.791,MSC,BEL,50.4372,5.9714
Italy,Nigel  Mansell ,Williams Renault,1:26.119,MAN,ITA,44.3406,11.7161
Portugal,Ayrton  Senna ,McLaren Honda,1:16.272,SEN,POR,37.227,-8.6281
Japan,Nigel  Mansell ,Williams Renault,1:40.646,MAN,JPN,34.8431,136.5416
Australia,Michael  Schumacher ,Benetton Ford,1:16.078,MSC,AUS,-37.8497,144.968
South Africa,Alain  Prost ,Williams Renault,1:19.492,PRO,ZAF,-26.2474,27.8477
Brazil,Michael  Schumacher ,Benetton Ford,1:20.024,MSC,BRA,-23.7036,-46.6997
Europe,Ayrton  Senna ,McLaren Ford,1:18.029,SEN,DEU,50.4336,6.9476
San Marino,Alain  Prost ,Williams Renault,1:26.128,PRO,SMR,43.9685,12.4813
Spain,Michael  Schumacher ,Benetton Ford,1:20.989,MSC,ESP,41.57,2.2615
Monaco,Alain  Prost ,Williams Renault,1:23.604,PRO,MON,43.7347,7.4206
Canada,Michael  Schumacher ,Benetton Ford,1:21.500,MSC,CAN,45.5049,-73.5262
France,Michael  Schumacher ,Benetton Ford,1:19.256,MSC,FRA,43.2509,5.7901
Great Britain,Damon  Hill ,Williams Renault,1:22.515,HIL,GBR,52.0786,-1.0169
Germany,Michael  Schumacher ,Benetton Ford,1:41.859,MSC,DEU,49.3276,8.5625
Hungary,Alain  Prost ,Williams Renault,1:19.633,PRO,HUN,47.5789,19.2486
Belgium,Alain  Prost ,Williams Renault,1:51.095,PRO,BEL,50.4372,5.9714
Italy,Damon  Hill ,Williams Renault,1:23.575,HIL,ITA,44.3406,11.7161
Portugal,Damon  Hill ,Williams Renault,1:14.859,HIL,POR,37.227,-8.6281
Japan,Alain  Prost ,Williams Renault,1:41.176,PRO,JPN,34.8431,136.5416
Australia,Damon  Hill ,Williams Renault,1:15.381,HIL,AUS,-37.8497,144.968
Brazil,Michael  Schumacher ,Benetton Ford,1:18.455,MSC,BRA,-23.7036,-46.6997
Pacific,Michael  Schumacher ,Benetton Ford,1:14.023,MSC,JPN,34.8431,136.5416
San Marino,Damon  Hill ,Williams Renault,1:24.335,HIL,SMR,43.9685,12.4813
Monaco,Michael  Schumacher ,Benetton Ford,1:21.076,MSC,MON,43.7347,7.4206
Spain,Michael  Schumacher ,Benetton Ford,1:25.155,MSC,ESP,41.57,2.2615
Canada,Michael  Schumacher ,Benetton Ford,1:28.927,MSC,CAN,45.5049,-73.5262
France,Damon  Hill ,Williams Renault,1:19.678,HIL,FRA,43.2509,5.7901
Great Britain,Damon  Hill ,Williams Renault,1:27.100,HIL,GBR,52.0786,-1.0169
Germany,David  Coulthard ,Williams Renault,1:46.211,COU,DEU,49.3276,8.5625
Hungary,Michael  Schumacher ,Benetton Ford,1:20.881,MSC,HUN,47.5789,19.2486
Belgium,Damon  Hill ,Williams Renault,1:57.117,HIL,BEL,50.4372,5.9714
Italy,Damon  Hill ,Williams Renault,1:25.930,HIL,ITA,44.3406,11.7161
Portugal,David  Coulthard ,Williams Renault,1:22.446,COU,POR,37.227,-8.6281
Europe,Michael  Schumacher ,Benetton Ford,1:25.040,MSC,DEU,50.4336,6.9476
Japan,Damon  Hill ,Williams Renault,1:56.597,HIL,JPN,34.8431,136.5416
Australia,Michael  Schumacher ,Benetton Ford,1:17.140,MSC,AUS,-37.8497,144.968
Brazil,Michael  Schumacher ,Benetton Renault,1:20.921,MSC,BRA,-23.7036,-46.6997
