Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Argentina,Michael  Schumacher ,Benetton Renault,1:30.522,MSC,ARG,-34.6466,-58.3876
San Marino,Gerhard  Berger ,Ferrari,1:29.568,BER,SMR,43.9685,12.4813
Spain,Damon  Hill ,Williams Renault,1:24.531,HIL,ESP,41.57,2.2615
Monaco,Jean  Alesi ,Ferrari,1:24.621,ALE,MON,43.7347,7.4206
Canada,Michael  Schumacher ,Benetton Renault,1:29.174,MSC,CAN,45.5049,-73.5262
France,Michael  Schumacher ,Benetton Renault,1:20.218,MSC,FRA,43.2509,5.7901
Great Britain,Damon  Hill ,Williams Renault,1:29.752,HIL,GBR,52.0786,-1.0169
Germany,Michael  Schumacher ,Benetton Renault,1:48.824,MSC,DEU,49.3276,8.5625
Hungary,Damon  Hill ,Williams Renault,1:20.247,HIL,HUN,47.5789,19.2486
Belgium,David  Coulthard ,Williams Renault,1:53.412,COU,BEL,50.4372,5.9714
Italy,Gerhard  Berger ,Ferrari,1:26.419,BER,ITA,44.3406,11.7161
Portugal,David  Coulthard ,Williams Renault,1:23.220,COU,POR,37.227,-8.6281
Europe,Michael  Schumacher ,Benetton Renault,1:21.180,MSC,DEU,50.4336,6.9476
Pacific,Michael  Schumacher ,Benetton Renault,1:16.374,MSC,JPN,34.8431,136.5416
Japan,Michael  Schumacher ,Benetton Renault,1:42.976,MSC,JPN,34.8431,136.5416
Australia,Damon  Hill ,Williams Renault,1:17.943,HIL,AUS,-37.8497,144.968
Australia,Jacques  Villeneuve ,Williams Renault,1:33.421,VIL,AUS,-37.8497,144.968
Brazil,Damon  Hill ,Williams Renault,1:21.547,HIL,BRA,-23.7036,-46.6997
Argentina,Jean  Alesi ,Benetton Renault,1:29.413,ALE,ARG,-34.6466,-58.3876
Europe,Damon  Hill ,Williams Renault,1:21.363,HIL,DEU,50.4336,6.9476
San Marino,Damon  Hill ,Williams Renault,1:28.931,HIL,SMR,43.9685,12.4813
Monaco,Jean  Alesi ,Benetton Renault,1:25.205,ALE,MON,43.7347,7.4206
Spain,Michael  Schumacher ,Ferrari,1:45.517,MSC,ESP,41.57,2.2615
Canada,Jacques  Villeneuve ,Williams Renault,1:21.916,VIL,CAN,45.5049,-73.5262
France,Jacques  Villeneuve ,Williams Renault,1:18.610,VIL,FRA,43.2509,5.7901
Great Britain,Jacques  Villeneuve ,Williams Renault,1:29.288,VIL,GBR,52.0786,-1.0169
Germany,Damon  Hill ,Williams Renault,1:46.504,HIL,DEU,49.3276,8.5625
Hungary,Damon  Hill ,Williams Renault,1:20.093,HIL,HUN,47.5789,19.2486
Belgium,Gerhard  Berger ,Benetton Renault,1:53.067,BER,BEL,50.4372,5.9714
Italy,Michael  Schumacher ,Ferrari,1:26.110,MSC,ITA,44.3406,11.7161
Portugal,Jacques  Villeneuve ,Williams Renault,1:22.873,VIL,POR,37.227,-8.6281
Japan,Jacques  Villeneuve ,Williams Renault,1:44.043,VIL,JPN,34.8431,136.5416
Australia,Heinz-Harald  Frentzen ,Williams Renault,1:30.585,FRE,AUS,-37.8497,144.968
Brazil,Jacques  Villeneuve ,Williams Renault,1:18.397,VIL,BRA,-23.7036,-46.6997
Argentina,Gerhard  Berger ,Benetton Renault,1:27.981,BER,ARG,-34.6466,-58.3876
San Marino,Heinz-Harald  Frentzen ,Williams Renault,1:25.531,FRE,SMR,43.9685,12.4813
Monaco,Michael  Schumacher ,Ferrari,1:53.315,MSC,MON,43.7347,7.4206
Spain,Giancarlo  Fisichella ,Jordan Peugeot,1:22.242,FIS,ESP,41.57,2.2615
Canada,David  Coulthard ,McLaren Mercedes,1:19.635,COU,CAN,45.5049,-73.5262
France,Michael  Schumacher ,Ferrari,1:17.910,MSC,FRA,43.2509,5.7901
Great Britain,Michael  Schumacher ,Ferrari,1:24.475,MSC,GBR,52.0786,-1.0169
Germany,Gerhard  Berger ,Benetton Renault,1:45.747,BER,DEU,49.3276,8.5625
Hungary,Heinz-Harald  Frentzen ,Williams Renault,1:18.372,FRE,HUN,47.5789,19.2486
Belgium,Jacques  Villeneuve ,Williams Renault,1:52.692,VIL,BEL,50.4372,5.9714
Italy,Mika  Hakkinen ,McLaren Mercedes,1:24.808,HAK,ITA,44.3406,11.7161
Austria,Jacques  Villeneuve ,Williams Renault,1:11.814,VIL,AUT,47.2197,14.7646
Luxembourg,Heinz-Harald  Frentzen ,Williams Renault,1:18.805,FRE,LUX,49.629,6.2185
Japan,Heinz-Harald  Frentzen ,Williams Renault,1:38.942,FRE,JPN,34.8431,136.5416
Europe,Heinz-Harald  Frentzen ,Williams Renault,1:23.135,FRE,DEU,50.4336,6.9476
Australia,Mika  Hakkinen ,McLaren Mercedes,1:31.649,HAK,AUS,-37.8497,144.968
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:19.337,HAK,BRA,-23.7036,-46.6997
Argentina,Alexander  Wurz ,Benetton Playlife,1:28.179,WUR,ARG,-34.6466,-58.3876
San Marino,Michael  Schumacher ,Ferrari,1:29.345,MSC,SMR,43.9685,12.4813
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.275,HAK,ESP,41.57,2.2615
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.948,HAK,MON,43.7347,7.4206
Canada,Michael  Schumacher ,Ferrari,1:19.379,MSC,CAN,45.5049,-73.5262
France,David  Coulthard ,McLaren Mercedes,1:17.523,COU,FRA,43.2509,5.7901
Great Britain,Michael  Schumacher ,Ferrari,1:35.704,MSC,GBR,52.0786,-1.0169
Austria,David  Coulthard ,McLaren Mercedes,1:12.878,COU,AUT,47.2197,14.7646
Germany,David  Coulthard ,McLaren Mercedes,1:46.116,COU,DEU,49.3276,8.5625
Hungary,Michael  Schumacher ,Ferrari,1:19.286,MSC,HUN,47.5789,19.2486
Belgium,Michael  Schumacher ,Ferrari,2:03.766,MSC,BEL,50.4372,5.9714
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.139,HAK,ITA,44.3406,11.7161
Luxembourg,Mika  Hakkinen ,McLaren Mercedes,1:20.450,HAK,LUX,49.629,6.2185
Japan,Michael  Schumacher ,Ferrari,1:40.190,MSC,JPN,34.8431,136.5416
Australia,Michael  Schumacher ,Ferrari,1:32.112,MSC,AUS,-37.8497,144.968
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:18.448,HAK,BRA,-23.7036,-46.6997
San Marino,Michael  Schumacher ,Ferrari,1:28.547,MSC,SMR,43.9685,12.4813
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.259,HAK,MON,43.7347,7.4206
Spain,Michael  Schumacher ,Ferrari,1:24.982,MSC,ESP,41.57,2.2615
Canada,Eddie  Irvine ,Ferrari,1:20.382,IRV,CAN,45.5049,-73.5262
France,David  Coulthard ,McLaren Mercedes,1:19.227,COU,FRA,43.2509,5.7901
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:28.309,HAK,GBR,52.0786,-1.0169
Austria,Mika  Hakkinen ,McLaren Mercedes,1:12.107,HAK,AUT,47.2197,14.7646
Germany,David  Coulthard ,McLaren Mercedes,1:45.270,COU,DEU,49.3276,8.5625
Hungary,David  Coulthard ,McLaren Mercedes,1:20.699,COU,HUN,47.5789,19.2486
Belgium,Mika  Hakkinen ,McLaren Mercedes,1:53.955,HAK,BEL,50.4372,5.9714
Italy,Ralf  Schumacher ,Williams Supertec,1:25.579,RSC,ITA,44.3406,11.7161
Europe,Mika  Hakkinen ,McLaren Mercedes,1:21.282,HAK,DEU,50.4336,6.9476
Malaysia,Heinz-Harald  Frentzen ,Jordan Mugen Honda,1:40.631,FRE,MAS,2.7606,101.7384
Japan,Michael  Schumacher ,Ferrari,1:41.319,MSC,JPN,34.8431,136.5416
Australia,Rubens  Barrichello ,Ferrari,1:31.481,BAR,AUS,-37.8497,144.968
Brazil,Michael  Schumacher ,Ferrari,1:14.755,MSC,BRA,-23.7036,-46.6997
San Marino,Mika  Hakkinen ,McLaren Mercedes,1:26.523,HAK,SMR,43.9685,12.4813
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:26.217,HAK,GBR,52.0786,-1.0169
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.470,HAK,ESP,41.57,2.2615
Europe,Michael  Schumacher ,Ferrari,1:22.269,MSC,DEU,50.4336,6.9476
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:21.571,HAK,MON,43.7347,7.4206
Canada,Mika  Hakkinen ,McLaren Mercedes,1:19.049,HAK,CAN,45.5049,-73.5262
France,David  Coulthard ,McLaren Mercedes,1:19.479,COU,FRA,43.2509,5.7901
Austria,David  Coulthard ,McLaren Mercedes,1:11.783,COU,AUT,47.2197,14.7646
Germany,Rubens  Barrichello ,Ferrari,1:44.300,BAR,DEU,49.3276,8.5625
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:20.028,HAK,HUN,47.5789,19.2486
Belgium,Rubens  Barrichello ,Ferrari,1:53.803,BAR,BEL,50.4372,5.9714
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.595,HAK,ITA,44.3406,11.7161
United States,David  Coulthard ,McLaren Mercedes,1:14.711,COU,USA,30.1328,-97.6411
Japan,Mika  Hakkinen ,McLaren Mercedes,1:39.189,HAK,JPN,34.8431,136.5416
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:38.543,HAK,MAS,2.7606,101.7384
Australia,Michael  Schumacher ,Ferrari,1:28.214,MSC,AUS,-37.8497,144.968
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:40.962,HAK,MAS,2.7606,101.7384
Brazil,Ralf  Schumacher ,Williams BMW,1:15.693,RSC,BRA,-23.7036,-46.6997
San Marino,Ralf  Schumacher ,Williams BMW,1:25.524,RSC,SMR,43.9685,12.4813
Spain,Michael  Schumacher ,Ferrari,1:21.151,MSC,ESP,41.57,2.2615
Austria,David  Coulthard ,McLaren Mercedes,1:10.843,COU,AUT,47.2197,14.7646
Monaco,David  Coulthard ,McLaren Mercedes,1:19.424,COU,MON,43.7347,7.4206
Canada,Ralf  Schumacher ,Williams BMW,1:17.205,RSC,CAN,45.5049,-73.5262
Europe,Juan Pablo  Montoya ,Williams BMW,1:18.354,MOY,DEU,50.4336,6.9476
France,David  Coulthard ,McLaren Mercedes,1:16.088,COU,FRA,43.2509,5.7901
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:23.405,HAK,GBR,52.0786,-1.0169
Germany,Juan Pablo  Montoya ,Williams BMW,1:41.808,MOY,DEU,49.3276,8.5625
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:16.723,HAK,HUN,47.5789,19.2486
Belgium,Michael  Schumacher ,Ferrari,1:49.758,MSC,BEL,50.4372,5.9714
Italy,Ralf  Schumacher ,Williams BMW,1:25.073,RSC,ITA,44.3406,11.7161
United States,Juan Pablo  Montoya ,Williams BMW,1:14.448,MOY,USA,30.1328,-97.6411
Japan,Ralf  Schumacher ,Williams BMW,1:36.944,RSC,JPN,34.8431,136.5416
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:28.541,RAI,AUS,-37.8497,144.968
Malaysia,Juan Pablo  Montoya ,Williams BMW,1:38.049,MOY,MAS,2.7606,101.7384
Brazil,Juan Pablo  Montoya ,Williams BMW,1:16.079,MOY,BRA,-23.7036,-46.6997
San Marino,Rubens  Barrichello ,Ferrari,1:24.170,BAR,SMR,43.9685,12.4813
Spain,Michael  Schumacher ,Ferrari,1:20.355,MSC,ESP,41.57,2.2615
Austria,Michael  Schumacher ,Ferrari,1:09.298,MSC,AUT,47.2197,14.7646
Monaco,Rubens  Barrichello ,Ferrari,1:18.023,BAR,MON,43.7347,7.4206
Canada,Juan Pablo  Montoya ,Williams BMW,1:15.960,MOY,CAN,45.5049,-73.5262
Europe,Michael  Schumacher ,Ferrari,1:32.226,MSC,DEU,50.4336,6.9476
Great Britain,Rubens  Barrichello ,Ferrari,1:23.083,BAR,GBR,52.0786,-1.0169
France,David  Coulthard ,McLaren Mercedes,1:15.045,COU,FRA,43.2509,5.7901
Germany,Michael  Schumacher ,Ferrari,1:16.462,MSC,DEU,49.3276,8.5625
Hungary,Michael  Schumacher ,Ferrari,1:16.207,MSC,HUN,47.5789,19.2486
Belgium,Michael  Schumacher ,Ferrari,1:47.176,MSC,BEL,50.4372,5.9714
Italy,Rubens  Barrichello ,Ferrari,1:23.657,BAR,ITA,44.3406,11.7161
United States,Rubens  Barrichello ,Ferrari,1:12.738,BAR,USA,30.1328,-97.6411
Japan,Michael  Schumacher ,Ferrari,1:36.125,MSC,JPN,34.8431,136.5416
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:27.724,RAI,AUS,-37.8497,144.968
Malaysia,Michael  Schumacher ,Ferrari,1:36.412,MSC,MAS,2.7606,101.7384
Brazil,Rubens  Barrichello ,Ferrari,1:22.032,BAR,BRA,-23.7036,-46.6997
San Marino,Michael  Schumacher ,Ferrari,1:22.491,MSC,SMR,43.9685,12.4813
Spain,Rubens  Barrichello ,Ferrari,1:20.143,BAR,ESP,41.57,2.2615
Austria,Michael  Schumacher ,Ferrari,1:08.337,MSC,AUT,47.2197,14.7646
Monaco,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.545,RAI,MON,43.7347,7.4206
Canada,Fernando  Alonso ,Renault,1:16.040,ALO,CAN,45.5049,-73.5262
Europe,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:32.621,RAI,DEU,50.4336,6.9476
France,Juan Pablo  Montoya ,Williams BMW,1:15.512,MOY,FRA,43.2509,5.7901
Great Britain,Rubens  Barrichello ,Ferrari,1:22.236,BAR,GBR,52.0786,-1.0169
Germany,Juan Pablo  Montoya ,Williams BMW,1:14.917,MOY,DEU,49.3276,8.5625
Hungary,Juan Pablo  Montoya ,Williams BMW,1:22.095,MOY,HUN,47.5789,19.2486
Italy,Michael  Schumacher ,Ferrari,1:21.832,MSC,ITA,44.3406,11.7161
United States,Michael  Schumacher ,Ferrari,1:11.473,MSC,USA,30.1328,-97.6411
Japan,Ralf  Schumacher ,Williams BMW,1:33.408,RSC,JPN,34.8431,136.5416
Australia,Michael  Schumacher ,Ferrari,1:24.125,MSC,AUS,-37.8497,144.968
Malaysia,Juan Pablo  Montoya ,Williams BMW,1:34.223,MOY,MAS,2.7606,101.7384
Bahrain,Michael  Schumacher ,Ferrari,1:30.252,MSC,BHR,26.0325,50.5106
San Marino,Michael  Schumacher ,Ferrari,1:20.411,MSC,SMR,43.9685,12.4813
Spain,Michael  Schumacher ,Ferrari,1:17.450,MSC,ESP,41.57,2.2615
Monaco,Michael  Schumacher ,Ferrari,1:14.439,MSC,MON,43.7347,7.4206
Europe,Michael  Schumacher ,Ferrari,1:29.468,MSC,DEU,50.4336,6.9476
Canada,Rubens  Barrichello ,Ferrari,1:13.622,BAR,CAN,45.5049,-73.5262
United States,Rubens  Barrichello ,Ferrari,1:10.399,BAR,USA,30.1328,-97.6411
France,Michael  Schumacher ,Ferrari,1:15.377,MSC,FRA,43.2509,5.7901
Great Britain,Michael  Schumacher ,Ferrari,1:18.739,MSC,GBR,52.0786,-1.0169
Germany,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:13.780,RAI,DEU,49.3276,8.5625
Hungary,Michael  Schumacher ,Ferrari,1:19.071,MSC,HUN,47.5789,19.2486
Belgium,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:45.108,RAI,BEL,50.4372,5.9714
Italy,Rubens  Barrichello ,Ferrari,1:21.046,BAR,ITA,44.3406,11.7161
China,Michael  Schumacher ,Ferrari,1:32.238,MSC,CHN,31.3389,121.22
Japan,Rubens  Barrichello ,Ferrari,1:32.730,BAR,JPN,34.8431,136.5416
Brazil,Juan Pablo  Montoya ,Williams BMW,1:11.473,MOY,BRA,-23.7036,-46.6997
Australia,Fernando  Alonso ,Renault,1:25.683,ALO,AUS,-37.8497,144.968
Malaysia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:35.483,RAI,MAS,2.7606,101.7384
Bahrain,Pedro  de la Rosa ,McLaren Mercedes,1:31.447,DLR,BHR,26.0325,50.5106
San Marino,Michael  Schumacher ,Ferrari,1:21.858,MSC,SMR,43.9685,12.4813
Spain,Giancarlo  Fisichella ,Renault,1:15.641,FIS,ESP,41.57,2.2615
Monaco,Michael  Schumacher ,Ferrari,1:15.842,MSC,MON,43.7347,7.4206
Europe,Fernando  Alonso ,Renault,1:30.711,ALO,DEU,50.4336,6.9476
Canada,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.384,RAI,CAN,45.5049,-73.5262
United States,Michael  Schumacher ,Ferrari,1:11.497,MSC,USA,30.1328,-97.6411
France,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:16.423,RAI,FRA,43.2509,5.7901
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:20.502,RAI,GBR,52.0786,-1.0169
Germany,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.873,RAI,DEU,49.3276,8.5625
Hungary,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:21.219,RAI,HUN,47.5789,19.2486
Turkey,Juan Pablo  Montoya ,McLaren Mercedes,1:24.770,MOY,TUR,40.9517,29.405
Italy,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:21.504,RAI,ITA,44.3406,11.7161
Belgium,Ralf  Schumacher ,Toyota,1:51.453,RSC,BEL,50.4372,5.9714
Brazil,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:12.268,RAI,BRA,-23.7036,-46.6997
Japan,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:31.540,RAI,JPN,34.8431,136.5416
China,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:33.242,RAI,CHN,31.3389,121.22
Bahrain,Nico  Rosberg ,Williams Cosworth,1:32.408,ROS,BHR,26.0325,50.5106
Malaysia,Fernando  Alonso ,Renault,1:34.803,ALO,MAS,2.7606,101.7384
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:26.045,RAI,AUS,-37.8497,144.968
San Marino,Fernando  Alonso ,Renault,1:24.569,ALO,SMR,43.9685,12.4813
Europe,Michael  Schumacher ,Ferrari,1:32.099,MSC,DEU,50.4336,6.9476
Spain,Felipe  Massa ,Ferrari,1:16.648,MAS,ESP,41.57,2.2615
Monaco,Michael  Schumacher ,Ferrari,1:15.143,MSC,MON,43.7347,7.4206
Great Britain,Fernando  Alonso ,Renault,1:21.599,ALO,GBR,52.0786,-1.0169
Canada,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:15.841,RAI,CAN,45.5049,-73.5262
United States,Michael  Schumacher ,Ferrari,1:12.719,MSC,USA,30.1328,-97.6411
France,Michael  Schumacher ,Ferrari,1:17.111,MSC,FRA,43.2509,5.7901
Germany,Michael  Schumacher ,Ferrari,1:16.357,MSC,DEU,49.3276,8.5625
Hungary,Felipe  Massa ,Ferrari,1:23.516,MAS,HUN,47.5789,19.2486
Turkey,Michael  Schumacher ,Ferrari,1:28.005,MSC,TUR,40.9517,29.405
Italy,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:22.559,RAI,ITA,44.3406,11.7161
China,Fernando  Alonso ,Renault,1:37.586,ALO,CHN,31.3389,121.22
Japan,Fernando  Alonso ,Renault,1:32.676,ALO,JPN,34.8431,136.5416
Brazil,Michael  Schumacher ,Ferrari,1:12.162,MSC,BRA,-23.7036,-46.6997
Australia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:25.235,RAI,AUS,-37.8497,144.968
Malaysia,Lewis  Hamilton ,McLaren Mercedes,1:36.701,HAM,MAS,2.7606,101.7384
Bahrain,Felipe  Massa ,Ferrari,1:34.067,MAS,BHR,26.0325,50.5106
Spain,Felipe  Massa ,Ferrari,1:22.680,MAS,ESP,41.57,2.2615
Monaco,Fernando  Alonso ,McLaren Mercedes,1:15.284,ALO,MON,43.7347,7.4206
Canada,Fernando  Alonso ,McLaren Mercedes,1:16.367,ALO,CAN,45.5049,-73.5262
United States,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:13.117,RAI,USA,30.1328,-97.6411
France,Felipe  Massa ,Ferrari,1:16.099,MAS,FRA,43.2509,5.7901
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:20.638,RAI,GBR,52.0786,-1.0169
Europe,Felipe  Massa ,Ferrari,1:32.853,MAS,DEU,50.4336,6.9476
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:20.047,RAI,HUN,47.5789,19.2486
Turkey,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:27.295,RAI,TUR,40.9517,29.405
Italy,Fernando  Alonso ,McLaren Mercedes,1:22.871,ALO,ITA,44.3406,11.7161
Belgium,Felipe  Massa ,Ferrari,1:48.036,MAS,BEL,50.4372,5.9714
Japan,Lewis  Hamilton ,McLaren Mercedes,1:28.193,HAM,JPN,34.8431,136.5416
China,Felipe  Massa ,Ferrari,1:37.454,MAS,CHN,31.3389,121.22
Brazil,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:12.445,RAI,BRA,-23.7036,-46.6997
Australia,Heikki  Kovalainen ,McLaren Mercedes,1:27.418,KOV,AUS,-37.8497,144.968
Malaysia,Nick  Heidfeld ,Sauber BMW,1:35.366,HEI,MAS,2.7606,101.7384
Bahrain,Heikki  Kovalainen ,McLaren Mercedes,1:33.193,KOV,BHR,26.0325,50.5106
Spain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:21.670,RAI,ESP,41.57,2.2615
Turkey,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:26.506,RAI,TUR,40.9517,29.405
Monaco,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.689,RAI,MON,43.7347,7.4206
Canada,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:17.387,RAI,CAN,45.5049,-73.5262
France,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.630,RAI,FRA,43.2509,5.7901
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:32.150,RAI,GBR,52.0786,-1.0169
Germany,Nick  Heidfeld ,Sauber BMW,1:15.987,HEI,DEU,49.3276,8.5625
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:21.195,RAI,HUN,47.5789,19.2486
Europe,Felipe  Massa ,Ferrari,1:38.708,MAS,DEU,50.4336,6.9476
Belgium,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:47.930,RAI,BEL,50.4372,5.9714
Italy,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:28.047,RAI,ITA,44.3406,11.7161
Singapore,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:45.599,RAI,SGP,1.2916,103.8644
Japan,Felipe  Massa ,Ferrari,1:18.426,MAS,JPN,34.8431,136.5416
China,Lewis  Hamilton ,McLaren Mercedes,1:36.325,HAM,CHN,31.3389,121.22
Brazil,Felipe  Massa ,Ferrari,1:13.736,MAS,BRA,-23.7036,-46.6997
Australia,Nico  Rosberg ,Williams Toyota,1:27.706,ROS,AUS,-37.8497,144.968
Malaysia,Jenson  Button ,Brawn Mercedes,1:36.641,BUT,MAS,2.7606,101.7384
China,Rubens  Barrichello ,Brawn Mercedes,1:52.592,BAR,CHN,31.3389,121.22
Bahrain,Jarno  Trulli ,Toyota,1:34.556,TRU,BHR,26.0325,50.5106
Spain,Rubens  Barrichello ,Brawn Mercedes,1:22.762,BAR,ESP,41.57,2.2615
Monaco,Felipe  Massa ,Ferrari,1:15.154,MAS,MON,43.7347,7.4206
Turkey,Jenson  Button ,Brawn Mercedes,1:27.579,BUT,TUR,40.9517,29.405
Great Britain,Sebastian  Vettel ,RBR Renault,1:20.735,VET,GBR,52.0786,-1.0169
Germany,Fernando  Alonso ,Renault,1:33.365,ALO,DEU,49.3276,8.5625
Hungary,Mark  Webber ,RBR Renault,1:21.931,WEB,HUN,47.5789,19.2486
Europe,Timo  Glock ,Toyota,1:38.683,GLO,DEU,50.4336,6.9476
Belgium,Sebastian  Vettel ,RBR Renault,1:47.263,VET,BEL,50.4372,5.9714
Italy,Adrian  Sutil ,Force India Mercedes,1:24.739,SUT,ITA,44.3406,11.7161
Singapore,Fernando  Alonso ,Renault,1:48.240,ALO,SGP,1.2916,103.8644
Japan,Mark  Webber ,RBR Renault,1:32.569,WEB,JPN,34.8431,136.5416
Brazil,Mark  Webber ,RBR Renault,1:13.733,WEB,BRA,-23.7036,-46.6997
Abu Dhabi,Sebastian  Vettel ,RBR Renault,1:40.279,VET,ARE,24.4672,54.6031
Bahrain,Fernando  Alonso ,Ferrari,1:58.287,ALO,BHR,26.0325,50.5106
Australia,Mark  Webber ,RBR Renault,1:28.358,WEB,AUS,-37.8497,144.968
Malaysia,Mark  Webber ,RBR Renault,1:37.054,WEB,MAS,2.7606,101.7384
China,Lewis  Hamilton ,McLaren Mercedes,1:42.061,HAM,CHN,31.3389,121.22
Spain,Lewis  Hamilton ,McLaren Mercedes,1:24.357,HAM,ESP,41.57,2.2615
Monaco,Sebastian  Vettel ,RBR Renault,1:15.192,VET,MON,43.7347,7.4206
Turkey,Vitaly  Petrov ,Renault,1:29.165,PET,TUR,40.9517,29.405
Canada,Robert  Kubica ,Renault,1:16.972,KUB,CAN,45.5049,-73.5262
Europe,Jenson  Button ,McLaren Mercedes,1:38.766,BUT,DEU,50.4336,6.9476
Great Britain,Fernando  Alonso ,Ferrari,1:30.874,ALO,GBR,52.0786,-1.0169
Germany,Sebastian  Vettel ,RBR Renault,1:15.824,VET,DEU,49.3276,8.5625
Hungary,Sebastian  Vettel ,RBR Renault,1:22.362,VET,HUN,47.5789,19.2486
Belgium,Lewis  Hamilton ,McLaren Mercedes,1:49.069,HAM,BEL,50.4372,5.9714
Italy,Fernando  Alonso ,Ferrari,1:24.139,ALO,ITA,44.3406,11.7161
Singapore,Fernando  Alonso ,Ferrari,1:47.976,ALO,SGP,1.2916,103.8644
Japan,Mark  Webber ,RBR Renault,1:33.474,WEB,JPN,34.8431,136.5416
South Korea,Fernando  Alonso ,Ferrari,1:50.257,ALO,KOR,37.8043,126.2485
Brazil,Lewis  Hamilton ,McLaren Mercedes,1:13.851,HAM,BRA,-23.7036,-46.6997
