Grand Prix,Driver,Car,Time,Name Code,Country Code,Latitude,Longitude
Abu Dhabi,Lewis  Hamilton ,McLaren Mercedes,1:41.274,HAM,ARE,24.4672,54.6031
Australia,Felipe  Massa ,Ferrari,1:28.947,MAS,AUS,-37.8497,144.968
Malaysia,Mark  Webber ,Red Bull Racing Renault,1:40.571,WEB,MAS,2.7606,101.7384
China,Mark  Webber ,Red Bull Racing Renault,1:38.993,WEB,CHN,31.3389,121.22
Turkey,Mark  Webber ,Red Bull Racing Renault,1:29.703,WEB,TUR,40.9517,29.405
Spain,Lewis  Hamilton ,McLaren Mercedes,1:26.727,HAM,ESP,41.57,2.2615
Monaco,Mark  Webber ,Red Bull Racing Renault,1:16.234,WEB,MON,43.7347,7.4206
Canada,Jenson  Button ,McLaren Mercedes,1:16.956,BUT,CAN,45.5049,-73.5262
Europe,Sebastian  Vettel ,Red Bull Racing Renault,1:41.852,VET,DEU,50.4336,6.9476
Great Britain,Fernando  Alonso ,Ferrari,1:34.908,ALO,GBR,52.0786,-1.0169
Germany,Lewis  Hamilton ,McLaren Mercedes,1:34.302,HAM,DEU,49.3276,8.5625
Hungary,Felipe  Massa ,Ferrari,1:23.415,MAS,HUN,47.5789,19.2486
Belgium,Mark  Webber ,Red Bull Racing Renault,1:49.883,WEB,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,McLaren Mercedes,1:26.187,HAM,ITA,44.3406,11.7161
Singapore,Jenson  Button ,McLaren Mercedes,1:48.454,BUT,SGP,1.2916,103.8644
Japan,Jenson  Button ,McLaren Mercedes,1:36.568,BUT,JPN,34.8431,136.5416
South Korea,Sebastian  Vettel ,Red Bull Racing Renault,1:39.605,VET,KOR,37.8043,126.2485
India,Sebastian  Vettel ,Red Bull Racing Renault,1:27.249,VET,IND,28.3486,77.535
Abu Dhabi,Mark  Webber ,Red Bull Racing Renault,1:42.612,WEB,ARE,24.4672,54.6031
Brazil,Mark  Webber ,Red Bull Racing Renault,1:15.324,WEB,BRA,-23.7036,-46.6997
Australia,Jenson  Button ,McLaren Mercedes,1:29.187,BUT,AUS,-37.8497,144.968
Malaysia,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:40.722,RAI,MAS,2.7606,101.7384
China,Kamui  Kobayashi ,Sauber Ferrari,1:39.960,KOB,CHN,31.3389,121.22
Bahrain,Sebastian  Vettel ,Red Bull Racing Renault,1:36.379,VET,BHR,26.0325,50.5106
Spain,Romain  Grosjean ,Lotus Renault,1:26.250,GRO,ESP,41.57,2.2615
Monaco,Sergio  Perez ,Sauber Ferrari,1:17.296,PER,MON,43.7347,7.4206
Canada,Sebastian  Vettel ,Red Bull Racing Renault,1:15.752,VET,CAN,45.5049,-73.5262
Europe,Nico  Rosberg ,Mercedes,1:42.163,ROS,DEU,50.4336,6.9476
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:34.661,RAI,GBR,52.0786,-1.0169
Germany,Michael  Schumacher ,Mercedes,1:18.725,MSC,DEU,49.3276,8.5625
Hungary,Sebastian  Vettel ,Red Bull Racing Renault,1:24.136,VET,HUN,47.5789,19.2486
Belgium,Bruno  Senna ,Williams Renault,1:52.822,SEN,BEL,50.4372,5.9714
Italy,Nico  Rosberg ,Mercedes,1:27.239,ROS,ITA,44.3406,11.7161
Singapore,Nico  Hulkenberg ,Force India Mercedes,1:51.033,HUL,SGP,1.2916,103.8644
Japan,Sebastian  Vettel ,Red Bull Racing Renault,1:35.774,VET,JPN,34.8431,136.5416
South Korea,Mark  Webber ,Red Bull Racing Renault,1:42.037,WEB,KOR,37.8043,126.2485
India,Jenson  Button ,McLaren Mercedes,1:28.203,BUT,IND,28.3486,77.535
Abu Dhabi,Sebastian  Vettel ,Red Bull Racing Renault,1:43.964,VET,ARE,24.4672,54.6031
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:39.347,VET,USA,30.1328,-97.6411
Brazil,Lewis  Hamilton ,McLaren Mercedes,1:18.069,HAM,BRA,-23.7036,-46.6997
Australia,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:29.274,RAI,AUS,-37.8497,144.968
Malaysia,Sergio  Perez ,McLaren Mercedes,1:39.199,PER,MAS,2.7606,101.7384
China,Sebastian  Vettel ,Red Bull Racing Renault,1:36.808,VET,CHN,31.3389,121.22
Bahrain,Sebastian  Vettel ,Red Bull Racing Renault,1:36.961,VET,BHR,26.0325,50.5106
Spain,Esteban  Gutierrez,Sauber Ferrari,1:26.217,GUT,ESP,41.57,2.2615
Monaco,Sebastian  Vettel ,Red Bull Racing Renault,1:16.577,VET,MON,43.7347,7.4206
Canada,Mark  Webber ,Red Bull Racing Renault,1:16.182,WEB,CAN,45.5049,-73.5262
Great Britain,Mark  Webber ,Red Bull Racing Renault,1:33.401,WEB,GBR,52.0786,-1.0169
Germany,Fernando  Alonso ,Ferrari,1:33.468,ALO,DEU,49.3276,8.5625
Hungary,Mark  Webber ,Red Bull Racing Renault,1:24.069,WEB,HUN,47.5789,19.2486
Belgium,Sebastian  Vettel ,Red Bull Racing Renault,1:50.756,VET,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:25.849,HAM,ITA,44.3406,11.7161
Singapore,Sebastian  Vettel ,Red Bull Racing Renault,1:48.574,VET,SGP,1.2916,103.8644
South Korea,Sebastian  Vettel ,Red Bull Racing Renault,1:41.380,VET,KOR,37.8043,126.2485
Japan,Mark  Webber ,Red Bull Racing Renault,1:34.587,WEB,JPN,34.8431,136.5416
India,Kimi  RÃ¤ikkÃ¶nen ,Lotus Renault,1:27.679,RAI,IND,28.3486,77.535
Abu Dhabi,Fernando  Alonso ,Ferrari,1:43.434,ALO,ARE,24.4672,54.6031
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:39.856,VET,USA,30.1328,-97.6411
Brazil,Mark  Webber ,Red Bull Racing Renault,1:15.436,WEB,BRA,-23.7036,-46.6997
Australia,Nico  Rosberg ,Mercedes,1:32.478,ROS,AUS,-37.8497,144.968
Malaysia,Lewis  Hamilton ,Mercedes,1:43.066,HAM,MAS,2.7606,101.7384
Bahrain,Nico  Rosberg ,Mercedes,1:37.020,ROS,BHR,26.0325,50.5106
China,Nico  Rosberg ,Mercedes,1:40.402,ROS,CHN,31.3389,121.22
Spain,Sebastian  Vettel ,Red Bull Racing Renault,1:28.918,VET,ESP,41.57,2.2615
Monaco,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:18.479,RAI,MON,43.7347,7.4206
Canada,Felipe  Massa ,Williams Mercedes,1:18.504,MAS,CAN,45.5049,-73.5262
Austria,Sergio  Perez ,Force India Mercedes,1:12.142,PER,AUT,47.2197,14.7646
Great Britain,Lewis  Hamilton ,Mercedes,1:37.176,HAM,GBR,52.0786,-1.0169
Germany,Lewis  Hamilton ,Mercedes,1:19.908,HAM,DEU,49.3276,8.5625
Hungary,Nico  Rosberg ,Mercedes,1:25.724,ROS,HUN,47.5789,19.2486
Belgium,Nico  Rosberg ,Mercedes,1:50.511,ROS,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:28.004,HAM,ITA,44.3406,11.7161
Singapore,Lewis  Hamilton ,Mercedes,1:50.417,HAM,SGP,1.2916,103.8644
Japan,Lewis  Hamilton ,Mercedes,1:51.600,HAM,JPN,34.8431,136.5416
Russia,Valtteri  Bottas ,Williams Mercedes,1:40.896,BOT,RUS,43.4053,39.9553
United States,Sebastian  Vettel ,Red Bull Racing Renault,1:41.379,VET,USA,30.1328,-97.6411
Brazil,Lewis  Hamilton ,Mercedes,1:13.555,HAM,BRA,-23.7036,-46.6997
Abu Dhabi,Daniel  Ricciardo ,Red Bull Racing Renault,1:44.496,RIC,ARE,24.4672,54.6031
Australia,Lewis  Hamilton ,Mercedes,1:30.945,HAM,AUS,-37.8497,144.968
Malaysia,Nico  Rosberg ,Mercedes,1:42.062,ROS,MAS,2.7606,101.7384
China,Lewis  Hamilton ,Mercedes,1:42.208,HAM,CHN,31.3389,121.22
Bahrain,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:36.311,RAI,BHR,26.0325,50.5106
Spain,Lewis  Hamilton ,Mercedes,1:28.270,HAM,ESP,41.57,2.2615
Monaco,Daniel  Ricciardo ,Red Bull Racing Renault,1:18.063,RIC,MON,43.7347,7.4206
Canada,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:16.987,RAI,CAN,45.5049,-73.5262
Austria,Nico  Rosberg ,Mercedes,1:11.235,ROS,AUT,47.2197,14.7646
Great Britain,Lewis  Hamilton ,Mercedes,1:37.093,HAM,GBR,52.0786,-1.0169
Hungary,Daniel  Ricciardo ,Red Bull Racing Renault,1:24.821,RIC,HUN,47.5789,19.2486
Belgium,Nico  Rosberg ,Mercedes,1:52.416,ROS,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:26.672,HAM,ITA,44.3406,11.7161
Singapore,Daniel  Ricciardo ,Red Bull Racing Renault,1:50.041,RIC,SGP,1.2916,103.8644
Japan,Lewis  Hamilton ,Mercedes,1:36.145,HAM,JPN,34.8431,136.5416
Russia,Sebastian  Vettel ,Ferrari,1:40.071,VET,RUS,43.4053,39.9553
United States,Nico  Rosberg ,Mercedes,1:40.666,ROS,USA,30.1328,-97.6411
Mexico,Nico  Rosberg ,Mercedes,1:20.521,ROS,MEX,19.4042,-99.0907
Brazil,Lewis  Hamilton ,Mercedes,1:14.832,HAM,BRA,-23.7036,-46.6997
Abu Dhabi,Lewis  Hamilton ,Mercedes,1:44.517,HAM,ARE,24.4672,54.6031
Australia,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:28.997,RIC,AUS,-37.8497,144.968
Bahrain,Nico  Rosberg ,Mercedes,1:34.482,ROS,BHR,26.0325,50.5106
China,Nico  Hulkenberg ,Force India Mercedes,1:39.824,HUL,CHN,31.3389,121.22
Russia,Nico  Rosberg ,Mercedes,1:39.094,ROS,RUS,43.4053,39.9553
Spain,Daniil  Kvyat ,Toro Rosso Ferrari,1:26.948,KVY,ESP,41.57,2.2615
Monaco,Lewis  Hamilton ,Mercedes,1:17.939,HAM,MON,43.7347,7.4206
Canada,Nico  Rosberg ,Mercedes,1:15.599,ROS,CAN,45.5049,-73.5262
Europe,Nico  Rosberg ,Mercedes,1:46.485,ROS,DEU,50.4336,6.9476
Austria,Lewis  Hamilton ,Mercedes,1:08.411,HAM,AUT,47.2197,14.7646
Great Britain,Nico  Rosberg ,Mercedes,1:35.548,ROS,GBR,52.0786,-1.0169
Hungary,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:23.086,RAI,HUN,47.5789,19.2486
Germany,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:18.442,RIC,DEU,49.3276,8.5625
Belgium,Lewis  Hamilton ,Mercedes,1:51.583,HAM,BEL,50.4372,5.9714
Italy,Fernando  Alonso ,McLaren Honda,1:25.340,ALO,ITA,44.3406,11.7161
Singapore,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:47.187,RIC,SGP,1.2916,103.8644
Malaysia,Nico  Rosberg ,Mercedes,1:36.424,ROS,MAS,2.7606,101.7384
Japan,Sebastian  Vettel ,Ferrari,1:35.118,VET,JPN,34.8431,136.5416
United States,Sebastian  Vettel ,Ferrari,1:39.877,VET,USA,30.1328,-97.6411
Mexico,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:21.134,RIC,MEX,19.4042,-99.0907
Brazil,Max  Verstappen ,Red Bull Racing TAG Heuer,1:25.305,VER,BRA,-23.7036,-46.6997
Abu Dhabi,Sebastian  Vettel ,Ferrari,1:43.729,VET,ARE,24.4672,54.6031
Australia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:26.538,RAI,AUS,-37.8497,144.968
China,Lewis  Hamilton ,Mercedes,1:35.378,HAM,CHN,31.3389,121.22
Bahrain,Lewis  Hamilton ,Mercedes,1:32.798,HAM,BHR,26.0325,50.5106
Russia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:36.844,RAI,RUS,43.4053,39.9553
Spain,Lewis  Hamilton ,Mercedes,1:23.593,HAM,ESP,41.57,2.2615
Monaco,Sergio  Perez ,Force India Mercedes,1:14.820,PER,MON,43.7347,7.4206
Canada,Lewis  Hamilton ,Mercedes,1:14.551,HAM,CAN,45.5049,-73.5262
Azerbaijan,Sebastian  Vettel ,Ferrari,1:43.441,VET,AZE,40.3725,49.8532
Austria,Lewis  Hamilton ,Mercedes,1:07.411,HAM,AUT,47.2197,14.7646
Great Britain,Lewis  Hamilton ,Mercedes,1:30.621,HAM,GBR,52.0786,-1.0169
Hungary,Fernando  Alonso ,McLaren Honda,1:20.182,ALO,HUN,47.5789,19.2486
Belgium,Sebastian  Vettel ,Ferrari,1:46.577,VET,BEL,50.4372,5.9714
Italy,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:23.361,RIC,ITA,44.3406,11.7161
Singapore,Lewis  Hamilton ,Mercedes,1:45.008,HAM,SGP,1.2916,103.8644
Malaysia,Sebastian  Vettel ,Ferrari,1:34.080,VET,MAS,2.7606,101.7384
Japan,Valtteri  Bottas ,Mercedes,1:33.144,BOT,JPN,34.8431,136.5416
United States,Sebastian  Vettel ,Ferrari,1:37.766,VET,USA,30.1328,-97.6411
Mexico,Sebastian  Vettel ,Ferrari,1:18.785,VET,MEX,19.4042,-99.0907
Brazil,Max  Verstappen ,Red Bull Racing TAG Heuer,1:11.044,VER,BRA,-23.7036,-46.6997
Abu Dhabi,Valtteri  Bottas ,Mercedes,1:40.650,BOT,ARE,24.4672,54.6031
Australia,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:25.945,RIC,AUS,-37.8497,144.968
Bahrain,Valtteri  Bottas ,Mercedes,1:33.740,BOT,BHR,26.0325,50.5106
China,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:35.785,RIC,CHN,31.3389,121.22
Azerbaijan,Valtteri  Bottas ,Mercedes,1:45.149,BOT,AZE,40.3725,49.8532
Spain,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:18.441,RIC,ESP,41.57,2.2615
Monaco,Max  Verstappen ,Red Bull Racing TAG Heuer,1:14.260,VER,MON,43.7347,7.4206
Canada,Max  Verstappen ,Red Bull Racing TAG Heuer,1:13.864,VER,CAN,45.5049,-73.5262
France,Valtteri  Bottas ,Mercedes,1:34.225,BOT,FRA,43.2509,5.7901
Austria,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:06.957,RAI,AUT,47.2197,14.7646
Great Britain,Sebastian  Vettel ,Ferrari,1:30.696,VET,GBR,52.0786,-1.0169
Germany,Lewis  Hamilton ,Mercedes,1:15.545,HAM,DEU,49.3276,8.5625
Hungary,Daniel  Ricciardo ,Red Bull Racing TAG Heuer,1:20.012,RIC,HUN,47.5789,19.2486
Belgium,Valtteri  Bottas ,Mercedes,1:46.286,BOT,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:22.497,HAM,ITA,44.3406,11.7161
Singapore,Kevin  Magnussen ,Haas Ferrari,1:41.905,MAG,SGP,1.2916,103.8644
Russia,Valtteri  Bottas ,Mercedes,1:35.861,BOT,RUS,43.4053,39.9553
Japan,Sebastian  Vettel ,Ferrari,1:32.318,VET,JPN,34.8431,136.5416
United States,Lewis  Hamilton ,Mercedes,1:37.392,HAM,USA,30.1328,-97.6411
Mexico,Valtteri  Bottas ,Mercedes,1:18.741,BOT,MEX,19.4042,-99.0907
Brazil,Valtteri  Bottas ,Mercedes,1:10.540,BOT,BRA,-23.7036,-46.6997
Abu Dhabi,Sebastian  Vettel ,Ferrari,1:40.867,VET,ARE,24.4672,54.6031
Australia,Valtteri  Bottas ,Mercedes,1:25.580,BOT,AUS,-37.8497,144.968
Bahrain,Charles  Leclerc ,Ferrari,1:33.411,LEC,BHR,26.0325,50.5106
China,Pierre  Gasly ,Red Bull Racing Honda,1:34.742,GAS,CHN,31.3389,121.22
Azerbaijan,Charles  Leclerc ,Ferrari,1:43.009,LEC,AZE,40.3725,49.8532
Spain,Lewis  Hamilton ,Mercedes,1:18.492,HAM,ESP,41.57,2.2615
Monaco,Pierre  Gasly ,Red Bull Racing Honda,1:14.279,GAS,MON,43.7347,7.4206
Canada,Valtteri  Bottas ,Mercedes,1:13.078,BOT,CAN,45.5049,-73.5262
France,Sebastian  Vettel ,Ferrari,1:32.740,VET,FRA,43.2509,5.7901
Austria,Max  Verstappen ,Red Bull Racing Honda,1:07.475,VER,AUT,47.2197,14.7646
Great Britain,Lewis  Hamilton ,Mercedes,1:27.369,HAM,GBR,52.0786,-1.0169
Germany,Max  Verstappen ,Red Bull Racing Honda,1:16.645,VER,DEU,49.3276,8.5625
Hungary,Max  Verstappen ,Red Bull Racing Honda,1:17.103,VER,HUN,47.5789,19.2486
Belgium,Sebastian  Vettel ,Ferrari,1:46.409,VET,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:21.779,HAM,ITA,44.3406,11.7161
Singapore,Kevin  Magnussen ,Haas Ferrari,1:42.301,MAG,SGP,1.2916,103.8644
Russia,Lewis  Hamilton ,Mercedes,1:35.761,HAM,RUS,43.4053,39.9553
Japan,Lewis  Hamilton ,Mercedes,1:30.983,HAM,JPN,34.8431,136.5416
Mexico,Charles  Leclerc ,Ferrari,1:19.232,LEC,MEX,19.4042,-99.0907
United States,Charles  Leclerc ,Ferrari,1:36.169,LEC,USA,30.1328,-97.6411
Brazil,Valtteri  Bottas ,Mercedes,1:10.698,BOT,BRA,-23.7036,-46.6997
Abu Dhabi,Lewis  Hamilton ,Mercedes,1:39.283,HAM,ARE,24.4672,54.6031
Austria,Lando  Norris ,McLaren Renault,1:07.475,NOR,AUT,47.2197,14.7646
Styria,Carlos  Sainz ,McLaren Renault,1:05.619,SAI,AUT,47.2197,14.7646
Hungary,Lewis  Hamilton ,Mercedes,1:16.627,HAM,HUN,47.5789,19.2486
Great Britain,Max  Verstappen ,Red Bull Racing Honda,1:27.097,VER,GBR,52.0786,-1.0169
70th Anniversary,Lewis  Hamilton ,Mercedes,1:28.451,HAM,GBR,52.0786,-1.0169
Spain,Valtteri  Bottas ,Mercedes,1:18.183,BOT,ESP,41.57,2.2615
Belgium,Daniel  Ricciardo ,Renault,1:47.483,RIC,BEL,50.4372,5.9714
Italy,Lewis  Hamilton ,Mercedes,1:22.746,HAM,ITA,44.3406,11.7161
Tuscany,Lewis  Hamilton ,Mercedes,1:18.833,HAM,ITA,43.3667,11.3069
Russia,Valtteri  Bottas ,Mercedes,1:37.030,BOT,RUS,43.4053,39.9553
Eifel,Max  Verstappen ,Red Bull Racing Honda,1:28.139,VER,DEU,50.3354,6.9476
Portugal,Lewis  Hamilton ,Mercedes,1:18.750,HAM,POR,37.227,-8.6281
Emilia Romagna,Lewis  Hamilton ,Mercedes,1:15.484,HAM,ITA,44.3395,11.7161
Turkey,Lando  Norris ,McLaren Renault,1:36.806,NOR,TUR,40.9517,29.405
Bahrain,Max  Verstappen ,Red Bull Racing Honda,1:32.014,VER,BHR,26.0325,50.5106
Sakhir,George  Russell ,Mercedes,55.404,RUS,BHR,32.953941,65.540016
Abu Dhabi,Daniel  Ricciardo ,Renault,1:40.926,RIC,ARE,24.4672,54.6031
Bahrain,Valtteri  Bottas ,Mercedes,1:32.090,BOT,BHR,26.0325,50.5106
Emilia Romagna,Lewis  Hamilton ,Mercedes,1:16.702,HAM,ITA,44.3395,11.7161
Portugal,Valtteri  Bottas ,Mercedes,1:19.865,BOT,POR,37.227,-8.6281
Spain,Max  Verstappen ,Red Bull Racing Honda,1:18.149,VER,ESP,41.57,2.2615
Monaco,Lewis  Hamilton ,Mercedes,1:12.909,HAM,MON,43.7347,7.4206
Azerbaijan,Max  Verstappen ,Red Bull Racing Honda,1:44.481,VER,AZE,40.3725,49.8532
France,Max  Verstappen ,Red Bull Racing Honda,1:36.404,VER,FRA,43.2509,5.7901
Styria,Lewis  Hamilton ,Mercedes,1:07.058,HAM,AUT,47.2197,14.7646
Austria,Max  Verstappen ,Red Bull Racing Honda,1:06.200,VER,AUT,47.2197,14.7646
Great Britain,Sergio  Perez ,Red Bull Racing Honda,1:28.617,PER,GBR,52.0786,-1.0169
Hungary,Pierre  Gasly ,AlphaTauri Honda,1:18.394,GAS,HUN,47.5789,19.2486
Netherlands,Lewis  Hamilton ,Mercedes,1:11.097,HAM,NED,52.3888,4.5409
Italy,Daniel  Ricciardo ,McLaren Mercedes,1:24.812,RIC,ITA,44.3406,11.7161
Russia,Lando  Norris ,McLaren Mercedes,1:37.423,NOR,RUS,43.4053,39.9553
Turkey,Valtteri  Bottas ,Mercedes,1:30.432,BOT,TUR,40.9517,29.405
United States,Lewis  Hamilton ,Mercedes,1:38.485,HAM,USA,30.1328,-97.6411
Mexico,Valtteri  Bottas ,Mercedes,1:17.774,BOT,MEX,19.4042,-99.0907
Brazil,Sergio  Perez ,Red Bull Racing Honda,1:11.010,PER,BRA,-23.7036,-46.6997
Qatar,Max  Verstappen ,Red Bull Racing Honda,1:23.196,VER,QAT,25.49,51.4536
Saudi Arabia,Lewis  Hamilton ,Mercedes,1:30.734,HAM,SAU,21.4858,39.1925
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda,1:26.103,VER,ARE,24.4672,54.6031
Bahrain,Charles  Leclerc ,Ferrari,1:34.570,LEC,BHR,26.0325,50.5106
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.634,LEC,SAU,21.4858,39.1925
Australia,Charles  Leclerc ,Ferrari,1:20.260,LEC,AUS,-37.8497,144.968
Emilia Romagna,Max  Verstappen ,Red Bull Racing RBPT,1:18.446,VER,ITA,44.3395,11.7161
Miami,Max  Verstappen ,Red Bull Racing RBPT,1:31.361,VER,USA,25.7751,-80.2105
Spain,Sergio  Perez ,Red Bull Racing RBPT,1:24.108,PER,ESP,41.57,2.2615
Monaco,Lando  Norris ,McLaren Mercedes,1:14.693,NOR,MON,43.7347,7.4206
Azerbaijan,Sergio  Perez ,Red Bull Racing RBPT,1:46.046,PER,AZE,40.3725,49.8532
Canada,Carlos  Sainz ,Ferrari,1:15.749,SAI,CAN,45.5049,-73.5262
Great Britain,Lewis  Hamilton ,Mercedes,1:30.510,HAM,GBR,52.0786,-1.0169
Austria,Max  Verstappen ,Red Bull Racing RBPT,1:07.275,VER,AUT,47.2197,14.7646
France,Carlos  Sainz ,Ferrari,1:35.781,SAI,FRA,43.2509,5.7901
Hungary,Lewis  Hamilton ,Mercedes,1:21.386,HAM,HUN,47.5789,19.2486
Belgium,Max  Verstappen ,Red Bull Racing RBPT,1:49.354,VER,BEL,50.4372,5.9714
Netherlands,Max  Verstappen ,Red Bull Racing RBPT,1:13.652,VER,NED,52.3888,4.5409
Italy,Sergio  Perez ,Red Bull Racing RBPT,1:24.030,PER,ITA,44.3406,11.7161
Singapore,George  Russell ,Mercedes,1:46.458,RUS,SGP,1.2916,103.8644
Japan,Zhou  Guanyu ,Alfa Romeo Ferrari,1:44.411,ZHO,JPN,34.8431,136.5416
United States,George  Russell ,Mercedes,1:38.788,RUS,USA,30.1328,-97.6411
Mexico,George  Russell ,Mercedes,1:20.153,RUS,MEX,19.4042,-99.0907
Brazil,George  Russell ,Mercedes,1:13.785,RUS,BRA,-23.7036,-46.6997
Abu Dhabi,Lando  Norris ,McLaren Mercedes,1:28.391,NOR,ARE,24.4672,54.6031
Bahrain,Zhou  Guanyu ,Alfa Romeo Ferrari,1:33.996,ZHO,BHR,26.0325,50.5106
Saudi Arabia,Max  Verstappen ,Red Bull Racing Honda RBPT,1:31.906,VER,SAU,21.4858,39.1925
Australia,Sergio  Perez ,Red Bull Racing Honda RBPT,1:20.235,PER,AUS,-37.8497,144.968
Azerbaijan,George  Russell ,Mercedes,1:43.370,RUS,AZE,40.3725,49.8532
Miami,Max  Verstappen ,Red Bull Racing Honda RBPT,1:29.708,VER,USA,25.7751,-80.2105
Monaco,Lewis  Hamilton ,Mercedes,1:15.650,HAM,MON,43.7347,7.4206
Spain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:16.330,VER,ESP,41.57,2.2615
Canada,Sergio  Perez ,Red Bull Racing Honda RBPT,1:14.481,PER,CAN,45.5049,-73.5262
Austria,Max  Verstappen ,Red Bull Racing Honda RBPT,1:07.012,VER,AUT,47.2197,14.7646
Great Britain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:30.275,VER,GBR,52.0786,-1.0169
Hungary,Max  Verstappen ,Red Bull Racing Honda RBPT,1:20.504,VER,HUN,47.5789,19.2486
Belgium,Lewis  Hamilton ,Mercedes,1:47.305,HAM,BEL,50.4372,5.9714
Netherlands,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:13.837,ALO,NED,52.3888,4.5409
Italy,Oscar  Piastri ,McLaren Mercedes,1:25.072,PIA,ITA,44.3406,11.7161
Singapore,Lewis  Hamilton ,Mercedes,1:35.867,HAM,SGP,1.2916,103.8644
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:34.183,VER,JPN,34.8431,136.5416
Qatar,Max  Verstappen ,Red Bull Racing Honda RBPT,1:24.319,VER,QAT,25.49,51.4536
United States,Yuki  Tsunoda ,AlphaTauri Honda RBPT,1:38.139,TSU,USA,30.1328,-97.6411
Mexico,Lewis  Hamilton ,Mercedes,1:21.334,HAM,MEX,19.4042,-99.0907
Brazil,Lando  Norris ,McLaren Mercedes,1:12.486,NOR,BRA,-23.7036,-46.6997
Las Vegas,Oscar  Piastri ,McLaren Mercedes,1:35.490,PIA,USA,36.1699,-115.1398
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda RBPT,1:26.993,VER,ARE,24.4672,54.6031
Bahrain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:32.608,VER,BHR,26.0325,50.5106
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.632,LEC,SAU,21.4858,39.1925
Australia,Charles  Leclerc ,Ferrari,1:19.813,LEC,AUS,-37.8497,144.968
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:33.706,VER,JPN,34.8431,136.5416
China,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:37.810,ALO,CHN,31.3389,121.22
Miami,Oscar  Piastri ,McLaren Mercedes,1:30.634,PIA,USA,25.7751,-80.2105
